id,src_user_id,dst_user_id,timestamp
1289654213585166336,44260667,766713830462205954,2020-08-01
1289631645847506944,462583838,889268155490590721,2020-08-01
1289632964230356993,889268155490590721,462583838,2020-08-01
1289634139864350720,1036385218003906561,607660565,2020-08-01
1289638732186841093,4266293139,3320656380,2020-08-01
1289669188022226944,1163554577142050817,2284514228,2020-08-01
1289638256405962752,1254881540779065346,1030128778708697088,2020-08-01
1289988370798542848,3293661355,1226375975748767749,2020-08-02
1289752524623187969,549565942,1177581855941566464,2020-08-02
1289641162194563075,1149484900908748800,257641845,2020-08-01
1289641169488621570,1266572428387459074,4048118139,2020-08-01
1289713958085988352,1916535294,2499846800,2020-08-02
1289641217442029570,2481506844,2608476578,2020-08-01
1289642422914281473,78677181,1272967814052220928,2020-08-01
1289643097941577728,2491266333,457757871,2020-08-01
1289656837936013313,1207755089584123904,384391011,2020-08-01
1289671440300613632,891054518133071872,202038553,2020-08-01
1289676618407976960,891054518133071872,202038553,2020-08-01
1289652072913072128,4266293139,3320656380,2020-08-01
1289651588668112896,1029790229127938048,1234746313222156288,2020-08-01
1289645497313943554,1228415516110245889,1032143980933341185,2020-08-01
1289645786775470080,1149484900908748800,257641845,2020-08-01
1289647293402976257,1144846759,1133124481680125952,2020-08-01
1289646094939455490,15683731,15683731,2020-08-01
1289674086788919297,1149484900908748800,257641845,2020-08-01
1289648543309934592,49239992,14403710,2020-08-01
1289650397926154240,1280932848376176641,1149058850802114560,2020-08-01
1289649852499005440,1150666380162871296,565714172,2020-08-01
1289655875766906880,1155144825265631232,3077923751,2020-08-01
1289649390706016256,310976104,321030936,2020-08-01
1289649955796160512,1289644100698988544,247268658,2020-08-01
1289663079106490368,3008609823,1535097378,2020-08-01
1289659914869182464,3008609823,1535097378,2020-08-01
1289655764420714496,937422446323314688,1705037989,2020-08-01
1289652426203488256,138070726,923660210354270208,2020-08-01
1289667115335614465,1268093477058777089,797408730186911744,2020-08-01
1289654792055218176,1883979044,1883979044,2020-08-01
1289660277642817536,1042405564540768256,1017474875563347969,2020-08-01
1289669618194407424,21522338,855738025,2020-08-01
1289664980531347456,727936490257448961,2804260260,2020-08-01
1289661908845383680,57198714,435584431,2020-08-01
1289672175646052352,3271384368,3192624796,2020-08-01
1289662129587417091,156179111,1158051196642439168,2020-08-01
1289662965080141824,196552863,1610237390,2020-08-01
1289686474628059136,1167114374659616772,921784718877708290,2020-08-01
1289664152206635008,1251526122535292929,1150430193326141440,2020-08-01
1289679187356221441,1155144825265631232,3077923751,2020-08-01
1289667178485055488,13423382,13423382,2020-08-01
1289668323647479808,3436564948,25434845,2020-08-01
1289668082806513665,872964678590377984,3855260592,2020-08-01
1289668897868623872,21522338,250476157,2020-08-01
1289669311066288129,116238896,116238896,2020-08-01
1289671226151981061,864487498935787520,263967316,2020-08-01
1289681137573351427,1094640174670049280,1181324146321608704,2020-08-01
1289674810709012480,1176697279358484480,2808159880,2020-08-01
1289673031095263233,300927264,300927264,2020-08-01
1289678614867320832,1275799899825676288,1151855679088594944,2020-08-01
1289680385236901889,1215128183328202753,499486645,2020-08-01
1289676635638239233,35467771,806567013883772929,2020-08-01
1289683619615670272,864487498935787520,2250215048,2020-08-01
1289699322238578690,1179565841022623744,1030868541237542912,2020-08-01
1290615189591584768,1264952259651047425,1238277448074006529,2020-08-04
1289696145082474497,1074510035089117184,151704265,2020-08-01
1289680665278119937,174369590,110290428,2020-08-01
1289680791732027392,471831519,25130225,2020-08-01
1289684096914882561,549517924,1194380991869181952,2020-08-01
1289689947205783553,1244384003500789762,1159516865003237376,2020-08-01
1289684236153176066,1286116923416215552,1312395158,2020-08-01
1289693025640177665,174369590,110290428,2020-08-01
1289891339228700673,269170752,1578265178,2020-08-02
1289693434094247937,1265851454008496130,1184483710898323464,2020-08-01
1289705915138977792,1144846759,60604840,2020-08-01
1289698269258330112,51241418,948766715416141824,2020-08-01
1289685129212772353,811514954159443968,17178656,2020-08-01
1289688382407245825,19319290,1222684015062323208,2020-08-01
1289748526528753664,16577987,337780078,2020-08-02
1289687599636975618,247268658,1289644100698988544,2020-08-01
1289985960231366656,1250161155395502088,1265136072905744384,2020-08-02
1289711259663790082,891054518133071872,202038553,2020-08-01
1289689677293912066,811514954159443968,1033771596,2020-08-01
1289694421269667841,1224206368653090816,732629261626937344,2020-08-01
1289694231938781185,23554832,1108563509225242624,2020-08-01
1289706730079698945,1159516865003237376,1244384003500789762,2020-08-01
1289691997796622336,1077790895783653377,4052840597,2020-08-01
1289692133641740288,811514954159443968,1033771596,2020-08-01
1289693497763614721,19319290,767481574551977984,2020-08-01
1289696514059702277,3060917158,2345621778,2020-08-01
1289734603675013123,59548913,891467130197217280,2020-08-02
1289697817569583104,44747929,44747929,2020-08-01
1289698165713584128,21522338,1258400052101484545,2020-08-01
1289699399707136000,811514954159443968,1033771596,2020-08-01
1289742978081153024,126145724,2768199002,2020-08-02
1289700670623215616,1171901545358737408,773434037801250817,2020-08-01
1289756991758401543,21522338,18007117,2020-08-02
1289700497461403649,811514954159443968,1033771596,2020-08-01
1289702277670825984,915347593739239424,157877331,2020-08-01
1289706353145962496,1207755089584123904,384391011,2020-08-01
1289707032338026496,1170447582272708614,1215671887923163138,2020-08-01
1289705291777359872,172016482,172016482,2020-08-01
1289707773802946561,1083908907104387073,23138889,2020-08-01
1289709964471070720,19211695,1207006751502913536,2020-08-01
1289722430219403264,4266293139,835485461283905536,2020-08-02
1289708706242994177,1166066113907740673,794428617019322368,2020-08-01
1289723531509542920,872964678590377984,3855260592,2020-08-02
1289723825408446464,872964678590377984,3855260592,2020-08-02
1289717954129457153,1224206368653090816,732629261626937344,2020-08-02
1289711103484674048,1144846759,1133124481680125952,2020-08-01
1289710783417339905,1092462165561229312,1092462165561229312,2020-08-01
1289711550584852480,794428617019322368,1166066113907740673,2020-08-01
